,Equation Number,Equation Output
198,248,"((-1x + 2) + 3) = -4x
 | -4x = ((-1x + 2) + 3) | -4x = (-1x + (2 + 3)) | -3x = ((2 + 3) + 0) | -3x = 5 | x = ([-5/3])"
199,249,"(1 + -2x) = (3 + -4x)
 | (1 + -2x) = (-4x + 3) | (-2x + 1) = (-4x + 3) | ((-2x + 1) - 1) = ((-4x + 3) - 1) | -2x = ((-4x + 3) - 1) | -2x = (-4x + (3 - 1)) | 2x = ((3 - 1) + 0) | 2x = 2 | x = 1"
200,250,"-1x = ((-2) + 3x)
 | -1x = (3x + (-2)) | -4x = ((-2) + 0) | -4x = (-2) | x = [1/2]"
201,251,"((-1) + 2x) = (3 + -4x)
 | (2x + (-1)) = (3 + -4x) | (2x + (-1)) = (-4x + 3) | ((2x + (-1)) - (-1)) = ((-4x + 3) - (-1)) | 2x = ((-4x + 3) - (-1)) | 2x = (-4x + (3 - (-1))) | 6x = ((3 - (-1)) + 0) | 6x = 4 | x = [2/3]"
202,252,"(1x + (-2)) = (3x + 4)
 | ((1x + (-2)) - (-2)) = ((3x + 4) - (-2)) | 1x = ((3x + 4) - (-2)) | 1x = (3x + (4 - (-2))) | -2x = ((4 - (-2)) + 0) | -2x = 6 | x = (-3)"
203,253,"-1x = 2
 | x = (-2)"
204,254,"(-1x + (-2)) = (-3x + 4)
 | ((-1x + (-2)) - (-2)) = ((-3x + 4) - (-2)) | -1x = ((-3x + 4) - (-2)) | -1x = (-3x + (4 - (-2))) | 2x = ((4 - (-2)) + 0) | 2x = 6 | x = 3"
205,255,"((-1) / (-2)) = x
 | x = ((-1) / (-2)) | x = [1/2]"
206,257,"((-1) + -2x) = 3
 | -2x = 4 | x = (-2)"
207,258,"((-1) - 2) = ((-3x + 4) - 5)
 | ((-3x + 4) - 5) = ((-1) - 2) | ((-3x + 4) - 5) = (-3) | (-3x + 4) = 2 | -3x = (-2) | x = [2/3]"
208,259,"(-1x - 2) = 3x
 | 3x = (-1x - 2) | 3x = (-1x + (-2)) | 4x = ((-2) + 0) | 4x = (-2) | x = ([-1/2])"
209,261,"1x = ((-2) - 3)
 | 1x = (-5) | x = (-5)"
210,262,"(1x - 2) = (3x - 4)
 | (1x + (-2)) = (3x - 4) | ((1x + (-2)) - (-2)) = ((3x - 4) - (-2)) | 1x = ((3x - 4) - (-2)) | 1x = ((3x + (-4)) - (-2)) | 1x = (3x + ((-4) - (-2))) | -2x = (((-4) - (-2)) + 0) | -2x = (-2) | x = 1"
211,263,"(-1x + 2x) = ((-3) - 4)
 | (((-1) + 2) * x) = ((-3) - 4) | 1x = ((-3) - 4) | 1x = (-7) | x = (-7)"
212,264,"(-1) = (2x + (-3))
 | (2x + (-3)) = (-1) | 2x = 2 | x = 1"
213,265,"(1x - 2) = (-3)
 | 1x = (-1) | x = (-1)"
214,266,"(1x + (-2)) = 3
 | x = 5"
215,267,"(((-1) - 2x) - 3) = 4x
 | 4x = (((-1) - 2x) - 3) | 4x = (((-1) + -2x) - 3) | 4x = ((-2x + (-1)) - 3) | 4x = (-2x + ((-1) - 3)) | 6x = (((-1) - 3) + 0) | 6x = (-4) | x = ([-2/3])"
216,268,"(((1 / x) * x) + 2x) = 3x
 | 3x = (((1 / x) * x) + 2x) | 3x = (((1 / x) + 2) * x) | 3x = (x * ((1 / x) + 2)) | (3x + 1) = ((x * ((1 / x) + 2)) + 1) | ((3x + 1) - 1) = (((x * ((1 / x) + 2)) + 1) - 1) | 3x = (((x * ((1 / x) + 2)) + 1) - 1) | (3x * 1) = ((((x * ((1 / x) + 2)) + 1) - 1) * 1) | 3x = ((((x * ((1 / x) + 2)) + 1) - 1) * 1) | 3x = (1 * (((x * ((1 / x) + 2)) + 1) - 1)) | (x * 3) = (1 * (((x * ((1 / x) + 2)) + 1) - 1)) | (x * 3) = (1 * (((((1 / x) + 2) * x) + 1) - 1)) | (x * 3) = ((((((1 / x) + 2) * x) + 1) - 1) * 1) | (x * 3) = ((((1 / x) + 2) * x) * 1) | 3x = ((((1 / x) + 2) * x) * 1) | 3x = (1 * (((1 / x) + 2) * x)) | 3x = (1 * ((2 + (1 / x)) * x)) | 3x = (1 * (2x + ((1 / x) * x))) | 3x = (1 * (2x + (x * (1 / x)))) | 3x = (1 * (2x + ((x * 1) / x))) | 3x = (1 * (2x + (1x / x))) | 3x = (1 * (2x + (1 * (x / x)))) | 3x = (1 * (2x + (1 * 1))) | 3x = (2x + (1 * 1)) | 1x = ((1 * 1) + 0) | 1x = 1 | x = 1"
217,269,"(((-1) - 2x) + 3x) = 4
 | (3x + ((-1) - 2x)) = 4 | (3x + ((-1) + -2x)) = 4 | (3x + (-2x + (-1))) = 4 | ((3x + -2x) + (-1)) = 4 | (((3 + (-2)) * x) + (-1)) = 4 | (1x + (-1)) = 4 | x = 5"
218,270,"(-1x + 2) = ((-3) - 4x)
 | ((-1x + 2) - 2) = (((-3) - 4x) - 2) | -1x = (((-3) - 4x) - 2) | -1x = (((-3) + -4x) - 2) | -1x = ((-4x + (-3)) - 2) | -1x = (-4x + ((-3) - 2)) | 3x = (((-3) - 2) + 0) | 3x = (-5) | x = ([-5/3])"
219,271,"x = ((-1) / (-2))
 | x = [1/2]"
220,272,"(1x + (-2)) = (-3)
 | x = (-1)"
221,273,"x = ((-1) / 2)
 | x = ([-1/2])"
222,275,"((-1x - 2) - 3x) = 4
 | ((-1x - 3x) - 2) = 4 | (-1x - 3x) = 6 | (((-1) - 3) * x) = 6 | -4x = 6 | x = ([-3/2])"
223,276,"1x = (2x - 3)
 | 1x = (2x + (-3)) | -1x = ((-3) + 0) | -1x = (-3) | x = 3"
224,277,"((-1x - 1x) + 2) = (-3)
 | ((((-1) - 1) * x) + 2) = (-3) | (((-1) - 1) * x) = (-5) | -2x = (-5) | x = [5/2]"
225,278,"(1x - -2x) = ((-3x + 4) - -5x)
 | ((1 - (-2)) * x) = ((-3x + 4) - -5x) | ((1 - (-2)) * x) = ((-3x + 4) + 5x) | 3x = ((-3x + 4) + 5x) | 3x = (5x + (-3x + 4)) | -2x = ((-3x + 4) + 0) | -2x = (-3x + 4) | 1x = (4 + 0) | 1x = 4 | x = 4"
226,279,"1x = ((2x - 3) - 4)
 | 1x = ((2x + (-3)) - 4) | 1x = (2x + ((-3) - 4)) | -1x = (((-3) - 4) + 0) | -1x = (-7) | x = 7"
227,280,"(1 - 2x) = (3x - 4)
 | (1 + -2x) = (3x - 4) | (-2x + 1) = (3x - 4) | ((-2x + 1) - 1) = ((3x - 4) - 1) | ((-2x + 1) - 1) = ((3x + (-4)) - 1) | -2x = ((3x + (-4)) - 1) | -2x = (3x + ((-4) - 1)) | -5x = (((-4) - 1) + 0) | -5x = (-5) | x = 1"
228,281,"-1x = ((2 - 3x) + 4)
 | -1x = ((2 + -3x) + 4) | -1x = ((-3x + 2) + 4) | -1x = (-3x + (2 + 4)) | 2x = ((2 + 4) + 0) | 2x = 6 | x = 3"
229,282,"((-1) + 2x) = (-3x + 4)
 | (2x + (-1)) = (-3x + 4) | ((2x + (-1)) - (-1)) = ((-3x + 4) - (-1)) | 2x = ((-3x + 4) - (-1)) | 2x = (-3x + (4 - (-1))) | 5x = ((4 - (-1)) + 0) | 5x = 5 | x = 1"
230,283,x = (1 / 2) | x = [1/2]
